codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
40001,Abades,40,Segovia,2867.68,857,parcial
9001,Abajas,9,Burgos,240,31,sin dedicación
42001,ABEJAR,42,Soria,8500,286,parcial
34003,Abia de las Torres,34,Palencia,720,170,sin dedicación
24001,Acebedo,24,León,4579.02,184,parcial
47001,Adalia,47,Valladolid,1112.33,53,sin dedicación
5002,"Adrada, La",5,Ávila,13858.8,2539,parcial
37002,Agallas,37,Salamanca,300,132,sin dedicación
42004,Ágreda,42,Soria,2232.42,3026,sin dedicación
40004,Aguilafuente,40,Segovia,480,566,sin dedicación
34004,Aguilar de Campoo,34,Palencia,26594.01,6749,exclusiva
47004,Alaejos,47,Valladolid,16177.21,1379,exclusiva
49003,Alcañices,49,Zamora,175,1065,sin dedicación
40012,ALDEA REAL,40,Segovia,2250,279,sin dedicación
37014,Aldeadávila de la Ribera,37,Salamanca,14906.74,1209,exclusiva
47007,Aldeamayor de San Martín,47,Valladolid,15949.99,5634,parcial
37017,Aldeanueva de Figueroa,37,Salamanca,2725.95,250,parcial
42013,Aldehuela de Periáñez,42,Soria,150,32,sin dedicación
42014,"Aldehuelas, Las",42,Soria,250,60,sin dedicación
9011,Alfoz de Bricia,9,Burgos,163.27,70,sin dedicación
9012,Alfoz de Santa Gadea,9,Burgos,1609.5,104,parcial
49006,Algodre,49,Zamora,630,141,parcial
24004,Almanza,24,León,590,581,sin dedicación
49007,Almaraz de Duero,49,Zamora,1350,401,sin dedicación
42020,Almazán,42,Soria,13079.96,5477,exclusiva
42021,Almazul,42,Soria,641.1,62,parcial
42022,Almenar de Soria,42,Soria,244.9,232,sin dedicación
37028,Almendra,37,Salamanca,125,142,sin dedicación
9014,"Altos, Los",9,Burgos,1500,184,sin dedicación
34010,Ampudia,34,Palencia,3668.41,606,parcial
34011,Amusco,34,Palencia,1760,418,parcial
47009,Amusquillo,47,Valladolid,120,102,sin dedicación
49009,Andavías,49,Zamora,550,452,sin dedicación
24005,"Antigua, La",24,León,992.46,358,parcial
9018,Aranda de Duero,9,Burgos,30125.53,33187,exclusiva
49010,Arcenillas,49,Zamora,150,428,sin dedicación
9023,Arcos,9,Burgos,5905.62,1775,parcial
42025,Arcos de Jalón,42,Soria,1610,1454,sin dedicación
24006,Ardón,24,León,1030,560,sin dedicación
5014,Arenas de San Pedro,5,Ávila,2010,6344,sin dedicación
5016,Arévalo,5,Ávila,23637.26,7960,exclusiva
9025,Arija,9,Burgos,160,121,sin dedicación
49014,Arquillinos,49,Zamora,414.61,119,sin dedicación
47010,Arroyo de la Encomienda,47,Valladolid,22961.45,20537,exclusiva
49016,Aspariegos,49,Zamora,192.32,245,sin dedicación
24008,Astorga,24,León,3110,10741,sin dedicación
34017,Astudillo,34,Palencia,6082.53,1006,parcial
47011,Ataquines,47,Valladolid,2031.1,569,parcial
5019,ÁVILA,5,Ávila,33336.9,58369,exclusiva
40024,Ayllón,40,Segovia,22624,1182,exclusiva
49018,Ayoó de Vidriales,49,Zamora,520,289,sin dedicación
37038,Babilafuente,37,Salamanca,460,917,sin dedicación
34022,Baltanás,34,Palencia,2020,1206,sin dedicación
