codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
9297,"Quintanillas, Las",9,Burgos,28,111,sin dedicación
42148,Quiñonería,42,Soria,40,111,sin dedicación
49172,Rabanales,49,Zamora,40,111,sin dedicación
9302,Rabanera del Pinar,9,Burgos,40,111,sin dedicación
47131,Rábano,47,Valladolid,40,111,sin dedicación
49173,Rábano de Aliste,49,Zamora,40,110,sin dedicación
42149,"Rábanos, Los",42,Soria,40,110,sin dedicación
9304,Rabé de las Calzadas,9,Burgos,50,110,sin dedicación
37265,Rágama,37,Salamanca,60,110,sin dedicación
47132,Ramiro,47,Valladolid,60,110,sin dedicación
40164,Rapariegos,40,Segovia,60,110,sin dedicación
5193,Rasueros,5,Ávila,70,110,sin dedicación
40181,Real Sitio de San Ildefonso,40,Segovia,72,109,exclusiva
42151,REBOLLAR,42,Soria,73.86,109,sin dedicación
9306,Rebolledo de la Torre,9,Burgos,80,109,sin dedicación
40165,Rebollo,40,Segovia,85,109,sin dedicación
42152,Recuerda,42,Soria,90,109,sin dedicación
9307,Redecilla del Camino,9,Burgos,90,109,sin dedicación
9308,Redecilla del Campo,9,Burgos,90,109,sin dedicación
37266,"Redonda, La",37,Salamanca,90,109,sin dedicación
24127,Regueras de Arriba,24,León,90,108,sin dedicación
9309,Regumiel de la Sierra,9,Burgos,90,108,parcial
34146,Reinoso de Cerrato,34,Palencia,96,108,sin dedicación
42153,Rello,42,Soria,96,108,sin dedicación
40166,Remondo,40,Segovia,96,107,sin dedicación
47133,Renedo de Esgueva,47,Valladolid,97.28,107,exclusiva
34147,Renedo de la Vega,34,Palencia,100,107,sin dedicación
42154,Renieblas,42,Soria,100,107,sin dedicación
34149,Requena de Campos,34,Palencia,100,107,sin dedicación
34151,Respenda de la Peña,34,Palencia,100,106,sin dedicación
37267,Retortillo,37,Salamanca,100,106,sin dedicación
42155,Retortillo de Soria,42,Soria,100,106,sin dedicación
9311,Retuerta,9,Burgos,100,106,sin dedicación
49175,Revellinos,49,Zamora,100,106,sin dedicación
34152,Revenga de Campos,34,Palencia,103.65,106,sin dedicación
34154,Revilla de Collazos,34,Palencia,105,106,sin dedicación
9316,Revilla Vallejera,9,Burgos,110,106,sin dedicación
9312,"Revilla y Ahedo, La",9,Burgos,110,106,sin dedicación
9315,Revillarruz,9,Burgos,116,106,sin dedicación
24129,Reyero,24,León,120,105,sin dedicación
9317,Rezmondo,9,Burgos,120,105,sin dedicación
42156,Reznos,42,Soria,120,105,sin dedicación
40168,Riaguas de San Bartolomé,40,Segovia,120,105,sin dedicación
24130,Riaño,24,León,120,105,sin dedicación
40170,Riaza,40,Segovia,120,105,exclusiva
42157,"Riba de Escalote, La",42,Soria,120,105,sin dedicación
34155,Ribas de Campos,34,Palencia,120,105,parcial
34156,Riberos de la Cueza,34,Palencia,120,105,sin dedicación
24131,Riego de la Vega,24,León,120,104,sin dedicación
24132,Riello,24,León,125,104,sin dedicación
37268,"Rinconada de la Sierra, La",37,Salamanca,125,104,sin dedicación
5194,Riocabado,5,Ávila,125,104,sin dedicación
9318,Riocavado de la Sierra,9,Burgos,125,104,sin dedicación
5195,Riofrío,5,Ávila,125,104,sin dedicación
49176,Riofrío de Aliste,49,Zamora,130,104,sin dedicación
40172,Riofrío de Riaza,40,Segovia,132,104,sin dedicación
49177,Rionegro del Puente,49,Zamora,135,104,sin dedicación
42158,Rioseco de Soria,42,Soria,140,104,sin dedicación
24133,Rioseco de Tapia,24,León,140,104,sin dedicación
5196,Rivilla de Barajas,5,Ávila,140.05,103,sin dedicación
9321,Roa,9,Burgos,140.25,103,parcial
49178,Roales,49,Zamora,150,103,parcial
47134,Roales de Campos,47,Valladolid,150,103,sin dedicación
24134,"Robla, La",24,León,150,103,sin dedicación
47135,Robladillo,47,Valladolid,150,103,sin dedicación
37269,Robleda,37,Salamanca,150,102,sin dedicación
49179,Robleda-Cervantes,49,Zamora,150,102,sin dedicación
40173,Roda de Eresma,40,Segovia,150,102,sin dedicación
9323,Rojas,9,Burgos,150,102,sin dedicación
42159,Rollamienta,42,Soria,150,102,sin dedicación
37271,Rollán,37,Salamanca,150,101,sin dedicación
24136,Roperuelos del Páramo,24,León,150,101,parcial
49181,Rosinos de la Requejada,49,Zamora,150,101,sin dedicación
47137,Roturas,47,Valladolid,150,101,sin dedicación
42160,"Royo, El",42,Soria,150,101,sin dedicación
9325,Royuela de Río Franco,9,Burgos,150,101,sin dedicación
9326,Rubena,9,Burgos,150,101,sin dedicación
47138,Rubí de Bracamonte,47,Valladolid,150,100,sin dedicación
9328,Rucandio,9,Burgos,150,100,sin dedicación
47139,Rueda,47,Valladolid,150,100,exclusiva
24137,Sabero,24,León,150,100,sin dedicación
40174,Sacramenia,40,Segovia,150,100,parcial
47140,Saelices de Mayorga,47,Valladolid,150,100,sin dedicación
37272,Saelices el Chico,37,Salamanca,150,100,sin dedicación
37273,"Sagrada, La",37,Salamanca,160,100,sin dedicación
24139,Sahagún,24,León,160,100,sin dedicación
37303,"Sahugo, El",37,Salamanca,160,100,sin dedicación
37274,SALAMANCA,37,Salamanca,163.27,99,exclusiva
9329,Salas de Bureba,9,Burgos,175,99,sin dedicación
9330,Salas de los Infantes,9,Burgos,175,99,sin dedicación
49183,Salce,49,Zamora,180,98,sin dedicación
34157,Saldaña,34,Palencia,180,98,sin dedicación
9332,Saldaña de Burgos,9,Burgos,180,98,sin dedicación
42161,Salduero,42,Soria,192.32,98,parcial
