codigo;ayuntamiento;CODPROV;provincia;salario;poblacion;dedicación
40001;Abades;40;Segovia;2867.68;857;parcial
09001;Abajas;09;Burgos;240;31;sin dedicación
34001;Abarca de Campos;34;Palencia;0;45;sin dedicación
42001;ABEJAR;42;Soria;8500;286;parcial
34003;Abia de las Torres;34;Palencia;720;170;sin dedicación
37001;Abusejo;37;Salamanca;0;175;sin dedicación
24001;Acebedo;24;León;4579.02;184;parcial
47001;Adalia;47;Valladolid;1112.33;53;sin dedicación
09003;Adrada de Haza;09;Burgos;0;203;sin dedicación
40002;Adrada de Pirón;40;Segovia;0;37;sin dedicación
05002;Adrada, La;05;Ávila;13858.8;2539;parcial
42003;Adradas;42;Soria;0;59;sin dedicación
40003;Adrados;40;Segovia;0;127;sin dedicación
37002;Agallas;37;Salamanca;300;132;sin dedicación
42004;Ágreda;42;Soria;2232.42;3026;sin dedicación
09006;Aguas Cándidas;09;Burgos;0;56;sin dedicación
47002;Aguasal;47;Valladolid;0;18;sin dedicación
40004;Aguilafuente;40;Segovia;480;566;sin dedicación
09007;Aguilar de Bureba;09;Burgos;0;57;sin dedicación
34004;Aguilar de Campoo;34;Palencia;26594.01;6749;exclusiva
37003;Ahigal de los Aceiteros;37;Salamanca;0;113;sin dedicación
37004;Ahigal de Villarino;37;Salamanca;0;29;sin dedicación
47004;Alaejos;47;Valladolid;16177.21;1379;exclusiva
37005;Alameda de Gardón, La;37;Salamanca;0;68;sin dedicación
37006;Alamedilla, La;37;Salamanca;0;118;sin dedicación
34005;Alar del Rey;34;Palencia;0;921;sin dedicación
34006;Alba de Cerrato;34;Palencia;0;87;sin dedicación
37009;Alba de Yeltes;37;Salamanca;0;214;sin dedicación
37010;Alberca, La;37;Salamanca;0;1071;sin dedicación
37011;Alberguería de Argañán, La;37;Salamanca;0;106;sin dedicación
09009;Albillos;09;Burgos;0;210;sin dedicación
05005;Albornos;05;Ávila;0;177;sin dedicación
49003;Alcañices;49;Zamora;175;1065;sin dedicación
47005;Alcazarén;47;Valladolid;0;630;sin dedicación
09010;Alcocero de Mola;09;Burgos;0;32;sin dedicación
42006;Alconaba;42;Soria;0;179;sin dedicación
37012;Alconada;37;Salamanca;0;152;sin dedicación
40005;Alconada de Maderuelo;40;Segovia;0;23;sin dedicación
42007;Alcubilla de Avellaneda;42;Soria;0;105;sin dedicación
42008;Alcubilla de las Peñas;42;Soria;0;52;sin dedicación
